

Antiquity, from, to
Classical Athens , 508  , 322 
Roman Republic ,  509  , 27 
Ancient Carthage , 308  , 146 
Licchavi clan|The Licchavis ,  600  ,  300 


Middle Ages and Renaissance, from, to

Republic of San Marino , 301,present
Republic of Amalfi , 839,1131
Icelandic Commonwealth , 930,1262
Taifa of Córdoba , 1031,1070
Republic of Pisa , 1494,1509
Republic of Genoa , 1100,1797
Republic of Florence , 1115,1537
Novgorod Republic , 1136,1478
Commune of Rome , 1144,1193
Republic of Lucca , 1160,1805
Republic of Siena , 1167,1557
Old Swiss Confederacy , 1291,1798
Pskov Republic , 1348,1510
Republic of Cospaia , 1440,1826
Ambrosian Republic , 1447,1450
Polish/Lithuanian Commonwealth , 1569,1795
Zaporizhian Sich , 1552,1775
Dutch Republic , 1581,1795
Republic of Salé , 1619,1668


Early modern, from, to
Catalan Republic , 1641
Goust#History|Goust , 1648? , ?
Cossack Hetmanate , 1649,1764
Commonwealth of England , 1649,1660
Corsican Republic , 1755,1769
West Florida , 1763,1810
United States of America , 1776,present
Vermont Republic , 1777,1791
First French Republic , 1792,1804
Lanfang Republic , 1777,1884
Cisalpine Republic , 1797,1802
Helvetic Republic , 1798,1802
State of Muskogee , 1799,1803


19th century, from, to

Septinsular Republic , 1800,1815
Italian Republic Napoleonic|Italian Republic , 1802,1805
Swiss Confederation Napoleonic|Swiss Confederation , 1803,1815
Confederation of the Rhine , 1806,1813
United States of the Ionian Islands , 1815,1864
Free City of Krakow , 1815,1846
Federal Republic of Central America , 1823,1840
First Hellenic Republic , 1828,1832
Uruguay , 1828,present
Venezuela , 1830,present
Ecuador , 1830,present
Republic of Texas , 1836,1845
Dominican War of Independence|First Dominican Republic , 1844,1863
Second French Republic , 1848,1852
Menton and [[Roquebrune-Cap-Martin|Roquebrune , 1848,1861
Confederate States of America , 1860,1865
Dominican Republic|Second Dominican Republic , 1865,present
Republic of Ezo , 1868,1869
Third French Republic , 1871,1940
Republic of Hawaii , 1894,1898
First Philippine Republic , 1898,1901
Greater Republic of Central America , 1896,1898
Republic of Acre , 1899,1900 
Republic of Yucatán 1 , 1840,1843 
Republic of Yucatán 2 , 1846,1848
First Spanish Republic , 1873,1874
South African Republic , 1856,1902
Orange Free State , 1854,1902


20th century, from, to


Free City of Danzig , 1807,1814
Second Hellenic Republic , 1924,1935
Commonwealth of the Philippines , 1935,1946
Second Spanish Republic ''de jure'' , 1931,1939
Second Spanish Republic ''de facto'' , 1931,1975
Fourth French Republic , 1946,1958
